brand,j_type,rating_no_clean,rating,review_no_clean,review_num,price_no_clean,price
GUESS,Women's Necklace UBN29069  ,,,,,SAR 112.17,112.17
GUESS,3 Piece Tension Id Bangle Bracelet  ,4.2 out of 5 stars,4.2,232,232,SAR 110.80,110.8
GUESS,95364-21  ,4.3 out of 5 stars,4.3,191,191,SAR 68.04,68.04
GUESS,Ladies Bracelet UBB20099-L  ,,,,,SAR 127.00,127
Swarovski,Sparkling Dance Dial Up Ring  ,,,,,SAR 161.93,161.93
Swarovski,Crystal Facet White Swan Rose Gold-Plated Earrings  ,4.8 out of 5 stars,4.8,6,6,SAR 261.40,261.4
GUESS,5 Piece Mixed Chain Every Day Bracelet Set with Glass Stones  ,,,,,SAR 130.06,130.06
GUESS,Jewellery Dream & Love Necklace UBN70048  ,,,,,SAR 103.00,103
Swarovski,COSMIC ROCK BANGLE MB JET/BLK/PBK  ,,,Only 2 left in stock - order soon.,2,"SAR 1,484.78",1484.78
GUESS,UBE70104 Earrings UBE70104  ,,,,,,
Swarovski,"Women's Lifelong Heart Crystal Jewelry Collection, Rose Gold Tone & Rhodium Finish  ",4.4 out of 5 stars,4.4,7,7,SAR 345.50,345.5
GUESS,11982-21  ,4.1 out of 5 stars,4.1,52,52,SAR 68.15,68.15
GUESS,Ladies Bracelet UBB70006-L  ,,,,,SAR 109.38,109.38
GUESS,Choker Heart Romance Ubn70072 Stainless Steel Balls Chain Swarovski Heart Rodiado  ,,,,,SAR 121.06,121.06
GUESS,Ladies Bracelet UBB70036-S  ,,,,,SAR 103.00,103
GUESS,Ladies Necklace UBN70038  ,,,,,SAR 136.74,136.74
GUESS,Ladies Bracelet UBB20029-L  ,,,,,SAR 100.00,100
Swarovski,"Women's Bella V Pierced Earrings, Pink, Rose-gold tone plated  ",4.7 out of 5 stars,4.7,771,771,SAR 235.30,235.3
Swarovski,"Women's Lifelong Bow Y Necklace, White, Mixed metal finish  ",4.5 out of 5 stars,4.5,267,267,SAR 428.83,428.83
GUESS,Duo Chain Necklace with pendans  ,5.0 out of 5 stars,5,4,4,SAR 132.63,132.63
GUESS,Ladies Earrings UBE70038  ,4.2 out of 5 stars,4.2,3,3,SAR 83.00,83
GUESS,Necklace A Star Is Born Ubn70063 Stainless Steel Rodiado Stars Swarovski Logo  ,,,,,SAR 139.22,139.22
GUESS,Womens Puffy Heart Toggle Necklace  ,4.0 out of 5 stars,4,132,132,SAR 84.73,84.73
GUESS,Ladies Earrings UBE20145  ,,,,,SAR 105.41,105.41
GUESS,"Arm Bracelet for Women, Stainless Steel - UBB21324N  ",5.0 out of 5 stars,5,1,1,SAR 158.00,158
GUESS,Narrow Hinge with Crystal Bangle Bracelet  ,4.1 out of 5 stars,4.1,809,809,SAR 80.57,80.57
GUESS,Women's Pave Heart with Logo Banner Pendant Toggle Necklace  ,4.5 out of 5 stars,4.5,446,446,SAR 102.21,102.21
Swarovski,"Women's Creativity Circle Jewelry Collection, Clear Crystals  ",4.6 out of 5 stars,4.6,"3,330",3330,SAR 285.22,285.22
GUESS,women's BRACELET UBB12241N  ,4.5 out of 5 stars,4.5,2,2,SAR 155.00,155
GUESS,Ladies Necklace UBN70057  ,,,,,SAR 88.68,88.68
GUESS,Ladies Bracelet UBB70071-L  ,,,,,SAR 88.53,88.53
Swarovski,"Women's Iconic Swan Jewelry Collection, Rose Gold Tone Finish, Black Crystals  ",4.6 out of 5 stars,4.6,822,822,SAR 334.51,334.51
Swarovski,"Women's Lifelong Bow Bangle, White, Mixed metal finish  ",4.6 out of 5 stars,4.6,353,353,SAR 535.00,535
GUESS,Ladies Bracelet UBB70006-S  ,,,,,SAR 110.05,110.05
GUESS,UBE78048 Earrings UBE78048  ,3.5 out of 5 stars,3.5,10,10,SAR 110.05,110.05
GUESS,Ladies Bracelet UBB70133-L  ,1.0 out of 5 stars,1,1,1,SAR 110.08,110.08
Swarovski,Women Gold Plated Earring - 5188424  ,4.3 out of 5 stars,4.3,2,2,SAR 250.30,250.3
Swarovski,"EarringS for Women, 5373164  ",4.6 out of 5 stars,4.6,16,16,SAR 297.00,297
Swarovski,Women's White Rhodium plated Bella V Pierced Earrings 5292855  ,4.7 out of 5 stars,4.7,758,758,SAR 235.31,235.31
GUESS,Women's Necklace UBN29045  ,3.5 out of 5 stars,3.5,2,2,SAR 152.78,152.78
